index_;cust_id;activated_date;last_payment_date;balance;balance_frequency;purchases;oneoff_purchases;installments_purchases;cash_advance;purchases_frequency;oneoff_purchases_frequency;purchases_installments_frequency;cash_advance_frequency;cash_advance_trx;purchases_trx;credit_limit;payments;minimum_payments;prc_full_payment;tenure;fraud
16;C10016;6/10/2019;7/07/2020;6886213231;1;1611.7;0;1611.7;2301491267;0.5;0;0.5;0.166667;4;11;8000;1993439277;210990649;0;12;0
17;C10017;6/10/2019;15/10/2020;2072074354;0.875;0;0;0;2784274703;0;0;0;0.25;3;0;3000;391974562;376579631;0;8;0
18;C10018;6/10/2019;21/09/2020;41089489;0.454545;519;0;519;0;0.416667;0;0.333333;0;0;8;2500;254590662;73203221;0.25;12;0
19;C10019;6/10/2019;3/05/2020;1989072228;1;504.35;166;338.35;0;0.666667;0.083333;0.583333;0;0;9;13000;1720837373;744613395;0;12;0
20;C10020;6/10/2019;30/06/2020;3577970933;1;398.64;0;398.64;0;1;0;1;0;0;12;4000;1053980464;1246554938;0;12;0
21;C10021;6/10/2019;7/06/2020;2016684686;1;176.68;0;176.68;0;0.666667;0;0.666667;0;0;8;2000;2230686;1355729726;0;12;0
22;C10022;6/10/2019;13/09/2020;6369531318;1;6359.95;5910.04;449.91;229028245;1;0.916667;1;0.333333;6;92;11250;2077959051;1659775075;0;12;0
23;C10023;6/10/2019;13/07/2020;13234224;0.636364;815.9;0;815.9;0;1;0;1;0;0;17;1800;2359629958;86329554;0;12;0
24;C10024;6/10/2019;5/06/2020;3800151377;0.818182;4248.35;3454.56;793.79;7974415626;1;0.083333;0.916667;0.333333;13;13;9000;9479043842;1425426525;0;12;0
25;C10025;6/10/2019;30/07/2020;5368571219;1;0;0;0;798949863;0;0;0;0.363636;4;0;6000;1422726707;1657002877;0;11;0
26;C10026;6/10/2019;27/10/2020;169781679;1;399.6;0;399.6;0;1;0;1;0;0;12;3000;215306142;163005536;0;12;0
27;C10027;6/10/2019;4/11/2020;161596724;1;102;102;0;244840485;0.166667;0.166667;0;0.25;5;2;1700;890178845;971183209;0;12;0
28;C10028;6/10/2019;31/07/2020;125694817;1;233.28;0;233.28;0;1;0;1;0;0;12;1000;207773715;164748819;0;12;0
29;C10029;6/10/2019;31/08/2020;7152864372;1;387.05;204.55;182.5;2236145259;0.666667;0.166667;0.416667;0.833333;16;8;10500;1601448347;1648851345;0;12;0
30;C10030;6/10/2019;8/07/2020;2206349;1;100;0;100;0;0.416667;0;0.416667;0;0;5;6900;160767773;159684442;0;12;0
31;C10031;6/10/2019;11/10/2020;1213621996;1;3038.01;1013.2;2024.81;3183583301;1;0.166667;1;0.5;10;64;13000;4230323491;329201503;0;12;0
32;C10032;7/10/2019;10/10/2020;1162273324;1;1347.71;400;947.71;175815755;1;0.083333;1;0.166667;2;45;6000;645998299;256848991;0;12;0
33;C10033;7/10/2019;10/07/2020;6732823064;1;324.95;324.95;0;1189533753;0.083333;0.083333;0;0.166667;3;3;10500;1720118876;2506745366;0;12;0
34;C10034;7/10/2019;22/06/2020;125660453;1;636.79;636.79;0;0;0.916667;0.916667;0;0;0;11;1200;423449696;196301885;0.3;12;0
35;C10035;7/10/2019;15/08/2020;3517101616;0.727273;547.28;0;547.28;0;1;0;1;0;0;14;11000;8735607835;1786255831;0;12;0
36;C10036;7/10/2019;4/09/2020;1656350781;1;0;0;0;99264367;0;0;0;0.083333;1;0;1800;351500199;634569311;0;12;0
37;C10037;7/10/2019;17/07/2020;7427076941;1;0;0;0;8873375046;0;0;0;0.727273;11;0;9000;1636361601;1986843608;0;11;0
38;C10038;7/10/2019;1/05/2020;4047480828;1;2380.55;1642.17;738.38;1697660901;0.75;0.5;0.75;0.333333;7;41;5000;1617894416;1541141605;0;12;0
39;C10039;7/10/2019;19/07/2020;6269418144;1;204;204;0;2925699862;0.083333;0.083333;0;0.333333;12;2;9000;1237111661;2049408839;0;12;0
40;C10040;7/10/2019;27/05/2020;141160223;0.454545;963.24;963.24;0;6173682877;0.083333;0.083333;0;0.333333;6;6;7500;2007107544;719948985;0.333333;12;0
41;C10041;7/10/2019;1/11/2020;66344781;0.727273;0;0;0;3133063934;0;0;0;0.25;3;0;1800;306705783;283333445;0.166667;12;0
42;C10043;7/10/2019;27/04/2020;784889762;0.909091;1526.59;786.3;740.29;2188419607;0.583333;0.416667;0.333333;0.25;11;27;3000;1262309666;363142736;0.111111;12;0
43;C10044;7/10/2019;25/08/2020;4104710798;1;203.82;203.82;0;0;0.083333;0.083333;0;0;0;1;4500;868275275;1801264841;0;12;0
44;C10045;7/10/2019;20/06/2020;1360742377;1;0;0;0;1481587093;0;0;0;0.083333;1;0;1500;378294227;321354137;0;12;0
45;C10046;7/10/2019;29/08/2020;5315945594;1;1525.44;469.8;1055.64;0;1;0.333333;1;0;0;20;8500;1430341501;131871492;0;12;0
46;C10047;7/10/2019;27/08/2020;2242311686;1;437;97;340;184648692;0.333333;0.083333;0.333333;0.166667;2;5;2400;0;;0;12;0
47;C10048;7/10/2019;28/07/2020;474447149;0.5;109.74;0;109.74;1013659552;0.375;0;0.25;0.125;1;3;1700;176013005;147199792;0;8;0
48;C10049;7/10/2019;7/07/2020;3910111237;1;0;0;0;1980873201;0;0;0;0.5;7;0;4200;0;;0;12;0
49;C10050;7/10/2019;16/06/2020;229867179;1;2390.6;1402.93;987.67;;1;0.666667;1;0;0;87;3300;2543953559;175657825;0.916667;12;0
50;C10051;7/10/2019;7/06/2020;863809833;1;507.5;507.5;0;695097159;0.166667;0.166667;0;0.083333;2;3;4000;587866451;286448719;0.083333;12;0
51;C10052;7/10/2019;15/07/2020;4931331857;1;901.42;646.07;255.35;8530648614;0.625;0.375;0.25;0.875;37;9;12000;8113297346;1012415961;0;8;0
52;C10053;7/10/2019;5/10/2020;1078888565;1;3107.85;2221.74;886.11;0;0.666667;0.583333;0.5;0;0;18;2500;139982834;1322446601;0;12;0
53;C10054;7/10/2019;15/05/2020;1565681099;1;0;0;0;321359135;0;0;0;0.25;3;0;3500;691825279;581481917;0;12;0
54;C10055;7/10/2019;2/06/2020;464674156;0.888889;1979.22;1979.22;0;1981265503;0.666667;0.666667;0;0.111111;1;11;3000;3110052742;132446091;0.2;9;0
55;C10056;7/10/2019;30/07/2020;6660517;0.636364;310;0;310;0;0.666667;0;0.666667;0;0;8;1000;417016763;;0;12;0
56;C10057;7/10/2019;23/09/2020;1311995984;1;1283.9;1283.9;0;0;0.25;0.25;0;0;0;6;6000;0;;0;12;0
57;C10058;7/10/2019;7/06/2020;3625218146;1;313.27;313.27;0;668468743;0.25;0.25;0;0.416667;5;4;4000;0;;0;12;0
58;C10059;7/10/2019;13/09/2020;2386330629;1;5217.62;4789.09;428.53;0;0.916667;0.916667;0.5;0;0;42;7500;5678729613;1311514878;0.083333;12;0
59;C10060;7/10/2019;16/10/2020;3971138765;1;0;0;0;224575517;0;0;0;0.181818;3;0;4000;764938728;1600212243;0;11;0
60;C10061;7/10/2019;29/05/2020;549390406;1;229;0;229;970591332;0.416667;0;0.333333;0.333333;4;6;6000;2110557023;189502617;0;12;0
61;C10062;7/10/2019;26/10/2020;1879114033;0.727273;113;113;0;0;0.166667;0.166667;0;0;0;2;6500;3509686561;548105836;0;12;0
62;C10063;7/10/2019;15/08/2020;1555793701;1;66.2;66.2;0;0;0.083333;0.083333;0;0;0;1;1600;338083661;837215674;0;12;0
63;C10064;7/10/2019;17/05/2020;809582978;0.909091;0;0;0;3819672466;0;0;0;0.545455;7;0;4150;4372148648;241645387;0.090909;11;0
64;C10065;7/10/2019;25/05/2020;7152356;0.090909;840;840;0;0;0.083333;0.083333;0;0;0;1;1600;0;;0;12;0
65;C10067;7/10/2019;12/05/2020;1923886805;1;1887.64;0;1887.64;1605949371;1;0;1;0.083333;4;61;1850;3688045998;3266996777;0.083333;12;0
66;C10068;7/10/2019;7/10/2020;1758059987;1;412.33;325.21;87.12;0;0.583333;0.333333;0.166667;0;0;11;1800;777451648;897905444;0;12;0
67;C10069;8/10/2019;24/06/2020;809847455;0.875;0;0;0;908423608;0;0;0;0.125;1;0;1500;146074769;179412493;0;8;0
68;C10070;8/10/2019;5/10/2020;1576305029;1;0;0;0;382908547;0;0;0;0.416667;6;0;2500;540022225;352883804;0;12;0
69;C10071;8/10/2019;27/07/2020;3990523579;1;263.5;190.6;72.9;0;0.666667;0.083333;0.583333;0;0;8;6000;6876836205;1001607366;0.083333;12;0
70;C10072;8/10/2019;29/06/2020;1699435486;1;1363.69;1363.69;0;0;0.333333;0.333333;0;0;0;4;1700;1623816348;923505868;0;12;0
71;C10073;8/10/2019;11/08/2020;5487683724;1;419.1;0;419.1;625399386;0.916667;0;0.833333;0.333333;4;11;6250;1288214909;2180881868;0;12;0
72;C10074;8/10/2019;5/11/2020;2990422186;0.909091;4523.27;1664.09;2859.18;2729648576;0.666667;0.5;0.583333;0.833333;27;33;7000;2823269446;1107030803;0.454545;12;1
73;C10075;8/10/2019;27/09/2020;65601301;1;0;0;0;1474349901;0;0;0;0.125;3;0;7000;910457985;140983193;0.25;8;0
74;C10077;8/10/2019;14/08/2020;1808972419;1;713.9;503.08;210.82;0;0.5;0.1;0.4;0;0;8;2250;889017418;622757696;0;10;0
75;C10078;8/10/2019;23/05/2020;532334517;0.909091;791.94;516.64;275.3;0;0.272727;0.090909;0.181818;0;0;7;6000;1305177304;175510344;0;11;0
76;C10079;8/10/2019;11/09/2020;5860433624;1;561.87;249.5;312.37;0;0.833333;0.166667;0.75;0;0;14;6000;1990044998;2161428274;0;12;0
77;C10080;8/10/2019;20/08/2020;1727638449;1;606.11;606.11;0;0;1;1;0;0;0;17;11000;2959920544;623656993;0;12;0
78;C10081;8/10/2019;30/08/2020;578809679;1;320;0;320;0;0.75;0;0.666667;0;0;8;1500;1438910569;190186542;0;12;0
79;C10082;8/10/2019;14/06/2020;1205716678;1;0;0;0;38325801;0;0;0;0.083333;1;0;1200;29278671;8242687678;0;12;0
80;C10083;8/10/2019;29/09/2020;6593820644;1;388.66;388.66;0;462193458;0.583333;0.583333;0;0.416667;7;7;7000;1624583114;250340234;0;12;0
81;C10084;8/10/2019;16/06/2020;17357563;0.909091;244.85;40.21;204.64;0;0.666667;0.166667;0.583333;0;0;13;5000;357802082;121523416;0.181818;12;0
82;C10085;8/10/2019;3/05/2020;81584711;0.272727;0;0;0;2985300006;0;0;0;0.166667;5;0;9500;116569033;164692136;0;12;0
83;C10086;8/10/2019;11/09/2020;378631;0.636364;133.05;28.2;104.85;0;0.416667;0.166667;0.25;0;0;5;12000;210053432;99533735;0.444444;12;0
84;C10087;8/10/2019;29/08/2020;4246443;0.545455;396;0;396;0;0.5;0;0.416667;0;0;12;1200;725606194;140809454;1;12;0
85;C10088;8/10/2019;10/08/2020;1935362486;1;4915.6;4515.34;400.26;293844792;1;1;0.333333;0.083333;1;50;9000;4921066897;594756686;0;12;0
86;C10089;8/10/2019;8/05/2020;134917202;1;1247.8;1247.8;0;0;1;1;0;0;0;22;16500;1275229436;171357189;1;12;0
87;C10090;8/10/2019;22/09/2020;7069950386;1;1603.78;1445.14;158.64;5626004046;1;0.833333;1;0.75;23;23;11000;4589873897;1876262988;0;12;0
88;C10092;8/10/2019;14/09/2020;8181251131;1;2258.01;1318.78;939.23;5251228934;1;0.75;1;0.75;21;60;13500;3021575846;2074581541;0;12;0
89;C10093;8/10/2019;3/06/2020;4037305658;1;45;45;0;104238064;0.083333;0.083333;0;0.083333;1;1;4500;1073844885;968941265;0;12;0
90;C10094;8/10/2019;21/07/2020;6110265264;1;0;0;0;;0;0;0;0.416667;14;0;6500;1502205631;2864380327;0;12;0
91;C10095;8/10/2019;7/08/2020;9381255094;1;5100.07;1147.83;3952.24;370737197;1;0.25;0.916667;0.083333;1;46;9000;6409496345;9827045323;0;12;0
92;C10096;8/10/2019;24/10/2020;197700709;1;1032.04;226.9;805.14;4335919227;0.909091;0.090909;0.818182;0.545455;21;17;4000;3056424974;910707525;0.090909;11;0
93;C10097;8/10/2019;17/07/2020;132147608;1;45.65;45.65;0;495657934;0.083333;0.083333;0;0.083333;1;1;1800;440840439;312560636;0;12;0
94;C10098;8/10/2019;9/10/2020;1307717841;1;405.6;405.6;0;0;0.166667;0.166667;0;0;0;2;2400;0;;0;12;0
95;C10099;8/10/2019;9/10/2020;2329485768;1;213.34;213.34;0;0;0.25;0.25;0;0;0;3;2400;0;;0;12;0
96;C10100;8/10/2019;9/10/2020;1139782882;1;0;0;0;120612912;0;0;0;0.083333;1;0;1200;151823651;2906110765;0;12;0
97;C10101;8/10/2019;29/07/2020;1619955708;1;739.44;739.44;0;0;0.666667;0.666667;0;0;0;11;6000;417128532;389138517;0;12;0
98;C10102;8/10/2019;29/08/2020;3505671311;1;0;0;0;1713984305;0;0;0;0.5;6;0;4000;0;;0;12;0
99;C10103;8/10/2019;4/06/2020;4708041;0.363636;79;0;79;0;0.25;0;0.166667;0;0;3;7000;217820198;121781205;1;12;0
100;C10104;8/10/2019;6/06/2020;0;0;0;0;0;89849004;0;0;0;0.142857;1;0;3000;138021428;;0;7;0
101;C10105;8/10/2019;22/09/2020;4875885;0.666667;20;20;0;0;0.111111;0.111111;0;0;0;1;1500;26487919;60913577;0;9;0
102;C10106;8/10/2019;24/08/2020;23394411;0.272727;1346.28;0;1346.28;0;1;0;1;0;0;12;2000;712149153;5479166;0;12;0
103;C10107;8/10/2019;10/09/2020;3539801912;1;2823.8;1540.41;1283.39;0;0.916667;0.916667;0.833333;0;0;75;5700;9172788366;2103796148;0.083333;12;0
104;C10108;8/10/2019;8/11/2020;0.62424;0.090909;389.96;0;389.96;0;1;0;1;0;0;31;4500;0;;0;12;0
105;C10109;8/10/2019;28/09/2020;86207238;1;0;0;0;920309805;0;0;0;0.083333;1;0;4000;2236890255;214828158;0.083333;12;0
106;C10110;8/10/2019;3/08/2020;2441542991;1;808;808;0;959857263;0.25;0.25;0;0.333333;6;4;4000;532741699;1026976;0;12;0
107;C10111;9/10/2019;14/08/2020;408656365;1;941.64;0;941.64;0;1;0;1;0;0;12;2500;109778942;176610605;0.083333;12;0
108;C10112;9/10/2019;22/09/2020;4986400804;1;0;0;0;5439467563;0;0;0;0.583333;40;0;8000;1241538024;1439230899;0;12;0
109;C10113;9/10/2019;2/06/2020;1246624558;1;423.7;177.64;246.06;412399058;0.666667;0.166667;0.5;0.083333;2;10;2000;577050373;498365419;0;12;0
110;C10114;9/10/2019;21/07/2020;6644201651;1;4478.75;2721.59;1757.16;7205520805;1;0.916667;1;0.583333;21;64;9000;1085794321;2469571326;0.083333;12;0
111;C10115;9/10/2019;6/05/2020;156216753;0.818182;1354.86;585.63;769.23;0;0.916667;0.333333;0.833333;0;0;34;5500;858976682;108319927;0;12;0
112;C10116;9/10/2019;23/10/2020;3393351236;1;0;0;0;1008348672;0;0;0;0.083333;2;0;4200;0;;0;12;0
113;C10117;9/10/2019;12/10/2020;5322994094;1;2812.2;857.12;1955.08;2510352951;1;0.25;1;0.333333;8;81;8500;1509423237;1834031569;0;12;0
114;C10118;9/10/2019;19/07/2020;645856209;1;0;0;0;3360228794;0;0;0;0.25;11;0;7000;127776778;2760115734;0;12;0
115;C10119;9/10/2019;5/10/2020;175341651;0.818182;1508.9;1252.36;256.54;0;0.666667;0.416667;0.333333;0;0;14;5000;1884227778;136639824;1;12;0
116;C10120;9/10/2019;16/06/2020;680195157;1;1045.57;667.95;377.62;0;1;0.583333;1;0;0;25;3000;552432305;207720441;0;12;0
117;C10121;9/10/2019;4/08/2020;223763616;0.636364;2309.78;0;2309.78;0;0.583333;0;0.5;0;0;12;6500;120681188;99372848;0.333333;12;0
118;C10122;9/10/2019;29/10/2020;1785626943;1;0;0;0;576206382;0;0;0;0.25;10;0;1800;687691735;2439136113;0;12;0
119;C10123;9/10/2019;24/04/2020;54933231;0.272727;495;0;495;0;0.166667;0;0.166667;0;0;2;7000;1969845566;147049952;1;12;0
120;C10124;9/10/2019;11/09/2020;2662629852;1;0;0;0;509023801;0;0;0;0.333333;4;0;3000;932418855;709207016;0;12;0
121;C10125;9/10/2019;24/07/2020;8504876253;1;6724.26;4100.08;2624.18;1686599777;1;0.916667;1;0.5;10;85;17000;1888756861;2167446204;0;12;0
122;C10126;9/10/2019;26/10/2020;1464324632;1;1174.39;1174.39;0;0;0.25;0.25;0;0;0;8;9000;0;;0;12;0
123;C10127;9/10/2019;28/09/2020;2114158683;1;5580.85;0;5580.85;0;1;0;1;0;0;75;8500;3564977774;63000413;0;12;0
124;C10128;9/10/2019;16/07/2020;2876396444;1;0;0;0;;0;0;0;0.166667;2;0;3200;1065426905;1412648089;0;12;0
125;C10130;9/10/2019;24/06/2020;1422411541;1;0;0;0;4614427403;0;0;0;0.333333;9;0;19000;3066614272;3406258999;0;12;0
126;C10131;9/10/2019;29/08/2020;2392917738;1;12462.44;12462.44;0;0;0.916667;0.916667;0;0;0;217;2800;1162871557;2000990921;0;12;1
127;C10132;9/10/2019;25/08/2020;57453201;0.75;0;0;0;272713302;0;0;0;0.125;1;0;1200;385853874;84697292;0.166667;8;0
128;C10133;9/10/2019;26/10/2020;4245855092;1;1957.3;1077.3;880;0;0.833333;0.166667;0.583333;0;0;19;5000;100435474;1086428906;0;12;0
129;C10134;9/10/2019;22/05/2020;1116723403;1;150.64;150.64;0;8362154254;0.083333;0.083333;0;0.5;14;1;17000;2606059389;2894077159;0;12;0
130;C10135;9/10/2019;27/05/2020;69405545;0.090909;0;0;0;2799714934;0;0;0;0.083333;3;0;13000;0;;0;12;0
131;C10136;9/10/2019;9/09/2020;116654149;0.272727;907;907;0;273558033;0.25;0.25;0;0.083333;1;8;5000;0;;0;12;0
132;C10137;9/10/2019;14/08/2020;4637848144;1;1271.12;351.54;919.58;0;0.833333;0.25;0.833333;0;0;33;5000;1906032044;3572279251;0;12;0
133;C10138;9/10/2019;11/05/2020;2428497;0.636364;250.6;0;250.6;0;0.583333;0;0.5;0;0;7;3000;319762903;173632006;0;12;0
134;C10139;9/10/2019;24/04/2020;935406045;1;796.33;796.33;0;1374847131;0.083333;0.083333;0;0.666667;16;1;13000;1066465866;2600875721;0.083333;12;0
135;C10140;10/10/2019;20/06/2020;231108995;1;440;0;440;0;0.916667;0;0.916667;0;0;22;4000;554116542;185091037;0;12;0
136;C10141;10/10/2019;12/08/2020;1562633343;1;1330.62;1169.63;160.99;0;0.5;0.166667;0.25;0;0;8;2000;1020783647;709610053;0;12;0
137;C10142;10/10/2019;18/10/2020;2494868559;1;5491.79;1390.5;4101.29;0;1;0.5;1;0;0;52;17000;1015311953;61592402;0;12;0
138;C10143;10/10/2019;22/05/2020;706132889;1;897.86;714.52;183.34;586268966;0.916667;0.333333;0.916667;0.25;3;18;1200;972358048;184524376;0;12;0
139;C10144;10/10/2019;14/07/2020;1904313856;1;22009.92;9449.07;12560.85;0;1;0.75;1;0;0;216;18000;2301857583;1862101331;0;12;1
140;C10145;10/10/2019;21/06/2020;2235103331;1;720.6;720.6;0;723308724;1;1;0;0.083333;1;12;2500;1061292471;689118919;0;12;1
141;C10146;10/10/2019;24/10/2020;94713081;1;197.06;148.66;48.4;0;0.333333;0.25;0.166667;0;0;5;1000;492200419;509384182;0;12;0
142;C10147;10/10/2019;2/05/2020;764042156;0.818182;0;0;0;1307102516;0;0;0;0.166667;3;0;7500;1566806897;172959728;0;12;0
143;C10148;10/10/2019;29/08/2020;5347814547;1;0;0;0;4002353384;0;0;0;0.5;9;0;7000;0;;0;12;0
144;C10149;10/10/2019;29/08/2020;1059846777;1;2084.48;1300.48;784;0;0.666667;0.416667;0.583333;0;0;13;21500;3219621433;3068125648;0;12;0
145;C10150;10/10/2019;18/10/2020;2163678757;1;5779.36;3436.53;2342.83;0;1;1;1;0;0;97;6500;441641268;546439139;0;12;0
146;C10151;10/10/2019;5/10/2020;3057400553;1;1025;1025;0;0;0.083333;0.083333;0;0;0;2;7500;698854095;819682666;0;12;0
147;C10152;10/10/2019;26/07/2020;19354559;0.909091;689.7;0;689.7;0;0.833333;0;0.833333;0;0;10;10000;746691026;;0;12;0
148;C10153;10/10/2019;29/08/2020;264811595;1;28.65;28.65;0;38426178;0.083333;0.083333;0;0.083333;1;1;9000;1235630069;194324456;0.083333;12;0
149;C10154;10/10/2019;20/09/2020;110822253;0.909091;944.96;164.96;780;0;0.5;0.25;0.416667;0;0;9;1500;1955198953;992652486;0;12;0
150;C10155;10/10/2019;7/08/2020;906573724;1;1039.2;80;959.2;103102091;0.833333;0.083333;0.833333;0.083333;1;11;13500;1855235407;468196732;0.083333;12;0
151;C10156;10/10/2019;10/09/2020;767962904;1;4059.93;0;4059.93;555469352;0.583333;0;0.5;0.166667;7;14;7000;368561062;128549397;0;12;0
152;C10157;10/10/2019;6/05/2020;1523911458;1;4075.37;3322.28;753.09;0;1;1;1;0;0;31;6500;225426002;32929648;0;12;0
153;C10158;10/10/2019;2/07/2020;49206256;1;870.24;0;870.24;0;1;0;1;0;0;24;8000;835839952;193011166;1;12;0
154;C10159;10/10/2019;11/05/2020;1367307961;1;9792.23;3959.81;5832.42;2444445738;1;0.75;1;0.75;26;216;20000;1171730794;6042391629;0;12;1
155;C10160;10/10/2019;28/10/2020;106455975;0.636364;2463.12;789.53;1673.59;0;1;0.5;1;0;0;46;4000;2573722764;95342224;0.636364;12;0
156;C10161;10/10/2019;27/08/2020;119760904;0.363636;1859.34;0;1859.34;0;0.333333;0;0.25;0;0;4;20000;3104275623;288903628;0.25;12;0
157;C10162;10/10/2019;2/10/2020;5837105453;1;3488.49;3262.25;226.24;33031523;1;1;0.5;0.75;15;46;7900;0;;0;12;0
158;C10163;10/10/2019;6/11/2020;1734510004;1;0;0;0;66275851;0;0;0;0.166667;2;0;1800;363474455;2827997525;0;12;0
159;C10164;10/10/2019;2/06/2020;2765748281;1;7283.31;5087.31;2196;0;1;1;0.666667;0;0;77;11000;143733929;1058128452;0.25;12;0
160;C10165;10/10/2019;5/07/2020;104637041;1;295;295;0;93579809;0.083333;0.083333;0;0.083333;1;2;1200;439407082;362838185;0;12;0
161;C10166;10/10/2019;16/10/2020;2737367678;1;0;0;0;429691164;0;0;0;0.416667;5;0;3000;778827993;721798576;0;12;0
162;C10167;10/10/2019;5/11/2020;4014818167;1;0;0;0;988356213;0;0;0;0.083333;1;0;8500;1009185035;1177149934;0;12;0
163;C10168;10/10/2019;25/06/2020;871568977;1;648.22;115;533.22;0;1;0.083333;1;0;0;27;1200;1110886425;208298424;0;12;0
164;C10169;10/10/2019;24/06/2020;1610040203;1;557.19;525.64;31.55;0;0.25;0.083333;0.166667;0;0;5;4000;422711848;616005839;0;12;0
165;C10170;10/10/2019;23/04/2020;114593817;1;469.98;0;469.98;0;1;0;0.833333;0;0;6;1000;367109312;86102479;0.5;6;0
166;C10171;11/10/2019;14/07/2020;5800587339;1;0;0;0;369950794;0;0;0;0.083333;1;0;6500;1346365584;1972526015;0;12;0
167;C10172;11/10/2019;14/07/2020;823103926;0.363636;131.64;0;131.64;0;1;0;1;0;0;12;8000;2916071564;243199498;0;12;0
168;C10173;11/10/2019;12/08/2020;595677343;1;5078.14;4330.53;747.61;1424442602;0.916667;0.666667;0.75;0.083333;1;42;15000;4756654374;241894073;0.916667;12;0
169;C10174;11/10/2019;28/05/2020;1128124563;1;924.6;0;924.6;0;1;0;1;0;0;12;1000;1202711782;1747037345;0;12;0
170;C10175;11/10/2019;6/10/2020;349441102;1;1975.4;1393.5;581.9;0;0.666667;0.416667;0.333333;0;0;17;4000;1795012223;167219681;0;12;0
171;C10176;11/10/2019;30/06/2020;840804076;0.666667;0;0;0;3671777443;0;0;0;0.222222;5;0;4000;3621266477;193171404;0;9;0
172;C10177;11/10/2019;6/11/2020;975942008;1;10221.35;7141.38;3079.97;1620685551;1;1;0.833333;0.583333;18;130;10500;1069349585;347641073;0.75;12;1
173;C10178;11/10/2019;16/06/2020;23111088;0.363636;300;0;300;0;0.25;0;0.166667;0;0;3;12500;291948834;43452683;0.181818;12;0
174;C10179;11/10/2019;24/09/2020;2187732265;0.857143;0;0;0;3905326256;0;0;0;0.285714;9;0;3000;1423788603;461365626;0.2;7;0
175;C10180;11/10/2019;24/04/2020;1197201104;1;5715;4685.54;1029.46;1626351366;1;1;1;0.166667;3;90;14000;4639513745;3192306018;0;12;0
176;C10181;11/10/2019;24/06/2020;1608451822;1;0;0;0;205737165;0;0;0;0.166667;2;0;1800;470565984;408799147;0;12;0
177;C10182;11/10/2019;23/06/2020;1872926275;1;766.61;766.61;0;1017120578;0.833333;0.833333;0;0.25;5;12;2300;0;;0;12;0
178;C10183;11/10/2019;16/06/2020;2933240476;1;0;0;0;2040433925;0;0;0;0.583333;13;0;3000;2431578544;173974883;0;12;0
179;C10184;11/10/2019;6/10/2020;336799916;1;3535.8;1614.7;1921.1;;1;0.416667;0.916667;0;0;44;20000;2814231227;186230835;1;12;0
180;C10185;11/10/2019;12/09/2020;36236312;0.454545;256.11;0;256.11;0;0.416667;0;0.416667;0;0;5;5300;831375322;189036967;0.166667;12;0
181;C10186;11/10/2019;2/05/2020;90329781;1;2697.48;150.5;2546.98;0;1;0.333333;1;0;0;39;2500;1686196344;303361632;0;12;0
